DS_ID,GeoCode,Continent,Country,MacroRegion,Region,Province,DistrictUnit,PostCode
"CH011","CH011","Europe (non EU)","Switzerland","Switzerland","Region Lemanique","Vaud","",""
"CH012","CH012","Europe (non EU)","Switzerland","Switzerland","Region Lemanique","Valais","",""
"CH013","CH013","Europe (non EU)","Switzerland","Switzerland","Region Lemanique","Geneve","",""
"CH021","CH021","Europe (non EU)","Switzerland","Switzerland","Espace Mittelland","Bern","",""
"CH025","CH025","Europe (non EU)","Switzerland","Switzerland","Espace Mittelland","Jura","",""
"CH022","CH022","Europe (non EU)","Switzerland","Switzerland","Espace Mittelland","Freiburg","",""
"CH023","CH023","Europe (non EU)","Switzerland","Switzerland","Espace Mittelland","Solothurn","",""
"CH024","CH024","Europe (non EU)","Switzerland","Switzerland","Espace Mittelland","Neuchatel","",""
"CH031","CH031","Europe (non EU)","Switzerland","Switzerland","Nordwestschweiz","Basel-Stadt","",""
"CH032","CH032","Europe (non EU)","Switzerland","Switzerland","Nordwestschweiz","Basel-Landschaft","",""
"CH033","CH033","Europe (non EU)","Switzerland","Switzerland","Nordwestschweiz","Aargau","",""
"CH040","CH040","Europe (non EU)","Switzerland","Switzerland","Zurich","Zurich","",""
"CH051","CH051","Europe (non EU)","Switzerland","Switzerland","Ostschweiz","Glarus","",""
"CH054","CH054","Europe (non EU)","Switzerland","Switzerland","Ostschweiz","Appenzell Innerrhoden","",""
"CH055","CH055","Europe (non EU)","Switzerland","Switzerland","Ostschweiz","St. Gallen","",""
"CH052","CH052","Europe (non EU)","Switzerland","Switzerland","Ostschweiz","Schaffhausen","",""
"CH053","CH053","Europe (non EU)","Switzerland","Switzerland","Ostschweiz","Appenzell Ausserrhoden","",""
"CH056","CH056","Europe (non EU)","Switzerland","Switzerland","Ostschweiz","Graubunden","",""
"CH057","CH057","Europe (non EU)","Switzerland","Switzerland","Ostschweiz","Thurgau","",""
"CH066","CH066","Europe (non EU)","Switzerland","Switzerland","Zentralschweiz","Zug","",""
"CH062","CH062","Europe (non EU)","Switzerland","Switzerland","Zentralschweiz","Uri","",""
"CH061","CH061","Europe (non EU)","Switzerland","Switzerland","Zentralschweiz","Luzern","",""
"CH063","CH063","Europe (non EU)","Switzerland","Switzerland","Zentralschweiz","Schwyz","",""
"CH064","CH064","Europe (non EU)","Switzerland","Switzerland","Zentralschweiz","Obwalden","",""
"CH065","CH065","Europe (non EU)","Switzerland","Switzerland","Zentralschweiz","Nidwalden","",""
"CH070","CH070","Europe (non EU)","Switzerland","Switzerland","Ticino","Ticino","",""
"MK006","MK006","Europe (non EU)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","Pološki","",""
"MK001","MK001","Europe (non EU)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","Vardarski","",""
"MK007","MK007","Europe (non EU)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","Severoistočen","",""
"MK008","MK008","Europe (non EU)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","Skopski","",""
"MK004","MK004","Europe (non EU)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","Jugoistočen","",""
"MK005","MK005","Europe (non EU)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","Pelagoniski","",""
"MK002","MK002","Europe (non EU)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","Istočen","",""
"MK003","MK003","Europe (non EU)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","F.Y.R. of Macedonia (FYROM)","Jugozapaden","",""
"NO011","NO011","Europe (non EU)","Norway","Norway","Oslo og Akershus","Oslo","",""
"NO012","NO012","Europe (non EU)","Norway","Norway","Oslo og Akershus","Akershus","",""
"NO021","NO021","Europe (non EU)","Norway","Norway","Hedmark og Oppland","Hedmark","",""
"NO022","NO022","Europe (non EU)","Norway","Norway","Hedmark og Oppland","Oppland","",""
"NO034","NO034","Europe (non EU)","Norway","Norway","Sor-Ostlandet","Telemark","",""
"NO031","NO031","Europe (non EU)","Norway","Norway","Sor-Ostlandet","Ostfold","",""
"NO033","NO033","Europe (non EU)","Norway","Norway","Sor-Ostlandet","Vestfold","",""
"NO032","NO032","Europe (non EU)","Norway","Norway","Sor-Ostlandet","Buskerud","",""
"NO042","NO042","Europe (non EU)","Norway","Norway","Agder og Rogaland","Vest-Agder","",""
"NO043","NO043","Europe (non EU)","Norway","Norway","Agder og Rogaland","Rogaland","",""
"NO041","NO041","Europe (non EU)","Norway","Norway","Agder og Rogaland","Aust-Agder","",""
"NO053","NO053","Europe (non EU)","Norway","Norway","Vestlandet","More og Romsdal","",""
"NO051","NO051","Europe (non EU)","Norway","Norway","Vestlandet","Hordaland","",""
"NO052","NO052","Europe (non EU)","Norway","Norway","Vestlandet","Sogn og Fjordane","",""
"NO061","NO061","Europe (non EU)","Norway","Norway","Trondelag","Sor Trondelag","",""
"NO062","NO062","Europe (non EU)","Norway","Norway","Trondelag","Nord-Trondelag","",""
"NO073","NO073","Europe (non EU)","Norway","Norway","Nord-Norge","Finnmark","",""
"NO072","NO072","Europe (non EU)","Norway","Norway","Nord-Norge","Troms","",""
"NO071","NO071","Europe (non EU)","Norway","Norway","Nord-Norge","Nordland","",""
"TR100","TR100","Europe (non EU)","Turkey","ISTANBUL","Istanbul ","Istanbul ","",""
"TR211","TR211","Europe (non EU)","Turkey","BATI MARMARA","Tekirdag","Tekirdag","",""
"TR212","TR212","Europe (non EU)","Turkey","BATI MARMARA","Tekirdag","Edirne","",""
"TR213","TR213","Europe (non EU)","Turkey","BATI MARMARA","Tekirdag","Kırklareli","",""
"TR221","TR221","Europe (non EU)","Turkey","BATI MARMARA","Balıkesir","Balıkesir","",""
"TR222","TR222","Europe (non EU)","Turkey","BATI MARMARA","Balıkesir","Canakkale","",""
"TR310","TR310","Europe (non EU)","Turkey","EGE","Izmir","Izmir","",""
"TR321","TR321","Europe (non EU)","Turkey","EGE","Aydın","Aydın","",""
"TR323","TR323","Europe (non EU)","Turkey","EGE","Aydın","Mugla","",""
"TR322","TR322","Europe (non EU)","Turkey","EGE","Aydın","Denizli","",""
"TR332","TR332","Europe (non EU)","Turkey","EGE","Manisa","Afyon","",""
"TR334","TR334","Europe (non EU)","Turkey","EGE","Manisa","Usak","",""
"TR331","TR331","Europe (non EU)","Turkey","EGE","Manisa","Manisa","",""
"TR333","TR333","Europe (non EU)","Turkey","EGE","Manisa","Kutahya","",""
"TR412","TR412","Europe (non EU)","Turkey","DOGU MARMARA","Bursa","Eskisehir","",""
"TR413","TR413","Europe (non EU)","Turkey","DOGU MARMARA","Bursa","Bilecik","",""
"TR411","TR411","Europe (non EU)","Turkey","DOGU MARMARA","Bursa","Bursa","",""
"TR422","TR422","Europe (non EU)","Turkey","DOGU MARMARA","Kocaeli","Sakarya","",""
"TR423","TR423","Europe (non EU)","Turkey","DOGU MARMARA","Kocaeli","Duzce","",""
"TR421","TR421","Europe (non EU)","Turkey","DOGU MARMARA","Kocaeli","Kocaeli","",""
"TR425","TR425","Europe (non EU)","Turkey","DOGU MARMARA","Kocaeli","Yalova","",""
"TR424","TR424","Europe (non EU)","Turkey","DOGU MARMARA","Kocaeli","Bolu","",""
"TR510","TR510","Europe (non EU)","Turkey","BATI ANADOLU","Ankara","Ankara","",""
"TR521","TR521","Europe (non EU)","Turkey","BATI ANADOLU","Konya","Konya","",""
"TR522","TR522","Europe (non EU)","Turkey","BATI ANADOLU","Konya","Karaman","",""
"TR613","TR613","Europe (non EU)","Turkey","AKDENIZ","Antalya","Burdur","",""
"TR612","TR612","Europe (non EU)","Turkey","AKDENIZ","Antalya","Isparta","",""
"TR611","TR611","Europe (non EU)","Turkey","AKDENIZ","Antalya","Antalya","",""
"TR621","TR621","Europe (non EU)","Turkey","AKDENIZ","Adana","Adana","",""
"TR622","TR622","Europe (non EU)","Turkey","AKDENIZ","Adana","İcel","",""
"TR632","TR632","Europe (non EU)","Turkey","AKDENIZ","Hatay","Kahramanmaras","",""
"TR631","TR631","Europe (non EU)","Turkey","AKDENIZ","Hatay","Hatay","",""
"TR633","TR633","Europe (non EU)","Turkey","AKDENIZ","Hatay","Osmaniye","",""
"TR711","TR711","Europe (non EU)","Turkey","ORTA ANADOLU","Kırıkkale","Kırıkkale","",""
"TR712","TR712","Europe (non EU)","Turkey","ORTA ANADOLU","Kırıkkale","Aksaray","",""
"TR713","TR713","Europe (non EU)","Turkey","ORTA ANADOLU","Kırıkkale","Nigde","",""
