SUB_DS_ID,YEAR,SEX,AGEBAND,POP,DEATHS
ITF13,2000,1,1,24593,
ITF13,2000,1,2,51325,
ITF13,2000,1,3,24342,
ITF13,2000,1,4,19689,
ITF13,2000,1,5,8284,
ITF13,2000,1,6,7387,
ITF13,2000,1,7,14213,
ITF13,2000,1,8,8720,
ITF13,2000,2,1,23264,
ITF13,2000,2,2,49380,
ITF13,2000,2,3,24308,
ITF13,2000,2,4,20001,
ITF13,2000,2,5,8644,
ITF13,2000,2,6,8076,
ITF13,2000,2,7,16900,
ITF13,2000,2,8,14619,
ITF13,2001,1,1,24574,
ITF13,2001,1,2,51400,
ITF13,2001,1,3,25146,
ITF13,2001,1,4,20078,
ITF13,2001,1,5,8628,
ITF13,2001,1,6,7266,
ITF13,2001,1,7,14309,
ITF13,2001,1,8,9061,
ITF13,2001,2,1,23264,
ITF13,2001,2,2,49293,
ITF13,2001,2,3,25034,
ITF13,2001,2,4,20387,
ITF13,2001,2,5,9004,
ITF13,2001,2,6,7909,
ITF13,2001,2,7,16991,
ITF13,2001,2,8,15076,
ITF13,2002,1,1,24793,
ITF13,2002,1,2,51641,
ITF13,2002,1,3,25963,
ITF13,2002,1,4,20545,
ITF13,2002,1,5,8924,
ITF13,2002,1,6,7352,
ITF13,2002,1,7,14313,
ITF13,2002,1,8,9418,
ITF13,2002,2,1,23487,
ITF13,2002,2,2,49345,
ITF13,2002,2,3,25739,
ITF13,2002,2,4,20852,
ITF13,2002,2,5,9323,
ITF13,2002,2,6,7959,
ITF13,2002,2,7,16977,
ITF13,2002,2,8,15554,
ITF13,2003,1,1,25192,
ITF13,2003,1,2,51962,
ITF13,2003,1,3,26774,
ITF13,2003,1,4,21115,
ITF13,2003,1,5,9173,
ITF13,2003,1,6,7559,
ITF13,2003,1,7,14267,
ITF13,2003,1,8,9803,
ITF13,2003,2,1,23856,
ITF13,2003,2,2,49497,
ITF13,2003,2,3,26407,
ITF13,2003,2,4,21422,
ITF13,2003,2,5,9599,
ITF13,2003,2,6,8144,
ITF13,2003,2,7,16905,
