SUB_DS_ID,YEAR,SEX,TYPE_DM,AGEBAND,POP
ITG2A,2009,1,2,1,158
ITG2A,2009,2,2,1,133
ITG2A,2010,1,2,1,171
ITG2A,2010,2,2,1,155
ITG2A,2011,1,2,1,181
ITG2A,2011,2,2,1,159
ITG2A,2012,1,2,1,189
ITG2A,2012,2,2,1,179
ITG2A,2013,1,2,1,201
ITG2A,2013,2,2,1,216
ITG2A,2009,1,1,1,7
ITG2A,2009,2,1,1,6
ITG2A,2010,1,1,1,7
ITG2A,2010,2,1,1,7
ITG2A,2011,1,1,1,8
ITG2A,2011,2,1,1,7
ITG2A,2012,1,1,1,8
ITG2A,2012,2,1,1,8
ITG2A,2013,1,1,1,8
ITG2A,2013,2,1,1,9
ITG2A,2009,1,3,1,2
ITG2A,2009,2,3,1,1
ITG2A,2010,1,3,1,2
ITG2A,2010,2,3,1,2
ITG2A,2011,1,3,1,2
ITG2A,2011,2,3,1,2
ITG2A,2012,1,3,1,2
ITG2A,2012,2,3,1,2
ITG2A,2013,1,3,1,2
ITG2A,2013,2,3,1,2
ITG2A,2009,1,2,2,818
ITG2A,2009,2,2,2,1288
ITG2A,2010,1,2,2,868
ITG2A,2010,2,2,2,1391
ITG2A,2011,1,2,2,857
ITG2A,2011,2,2,2,1576
ITG2A,2012,1,2,2,811
ITG2A,2012,2,2,2,1630
ITG2A,2013,1,2,2,856
ITG2A,2013,2,2,2,1622
ITG2A,2009,1,1,2,34
ITG2A,2009,2,1,2,54
ITG2A,2010,1,1,2,37
ITG2A,2010,2,1,2,59
ITG2A,2011,1,1,2,36
ITG2A,2011,2,1,2,66
ITG2A,2012,1,1,2,34
ITG2A,2012,2,1,2,69
ITG2A,2013,1,1,2,36
ITG2A,2013,2,1,2,68
ITG2A,2009,1,3,2,9
ITG2A,2009,2,3,2,14
ITG2A,2010,1,3,2,9
ITG2A,2010,2,3,2,15
ITG2A,2011,1,3,2,9
ITG2A,2011,2,3,2,17
ITG2A,2012,1,3,2,9
ITG2A,2012,2,3,2,17
ITG2A,2013,1,3,2,9
ITG2A,2013,2,3,2,17
ITG2A,2009,1,2,3,1865
ITG2A,2009,2,2,3,1222
ITG2A,2010,1,2,3,1926
ITG2A,2010,2,2,3,1271
ITG2A,2011,1,2,3,1889
ITG2A,2011,2,2,3,1326
ITG2A,2012,1,2,3,1882
ITG2A,2012,2,2,3,1362
ITG2A,2013,1,2,3,1870
ITG2A,2013,2,2,3,1383
ITG2A,2009,1,1,3,79
ITG2A,2009,2,1,3,51
ITG2A,2010,1,1,3,81
ITG2A,2010,2,1,3,54
ITG2A,2011,1,1,3,80
ITG2A,2011,2,1,3,56
ITG2A,2012,1,1,3,79
ITG2A,2012,2,1,3,57
ITG2A,2013,1,1,3,79
ITG2A,2013,2,1,3,58
ITG2A,2009,1,3,1,158
ITG2A,2009,2,3,1,133
ITG2A,2010,1,3,1,171
ITG2A,2010,2,3,1,155
ITG2A,2011,1,3,1,181
ITG2A,2011,2,3,1,159
ITG2A,2012,1,3,1,189
ITG2A,2012,2,3,1,179
ITG2A,2013,1,3,1,201
ITG2A,2013,2,3,1,216
ITG2A,2009,1,2,1,7
ITG2A,2009,2,2,1,6
ITG2A,2010,1,2,1,7
ITG2A,2010,2,2,1,7
ITG2A,2011,1,2,1,8
ITG2A,2011,2,2,1,7
ITG2A,2012,1,2,1,8
ITG2A,2012,2,2,1,8
ITG2A,2013,1,2,1,8
