SUB_DS_ID,YEAR,SEX,AGEBAND,POP,DEATHS
ITG2A,2009,1,1,4762,
ITG2A,2009,1,2,9353,
ITG2A,2009,1,3,5079,
ITG2A,2009,1,4,5193,
ITG2A,2009,1,5,2428,
ITG2A,2009,1,6,1672,
ITG2A,2009,1,7,2714,
ITG2A,2009,1,8,1550,
ITG2A,2009,2,1,4505,
ITG2A,2009,2,2,8562,
ITG2A,2009,2,3,4795,
ITG2A,2009,2,4,4958,
ITG2A,2009,2,5,2336,
ITG2A,2009,2,6,1762,
ITG2A,2009,2,7,3352,
ITG2A,2009,2,8,3281,
ITG2A,2010,1,1,4822,
ITG2A,2010,1,2,9318,
ITG2A,2010,1,3,5128,
ITG2A,2010,1,4,5195,
ITG2A,2010,1,5,2489,
ITG2A,2010,1,6,1782,
ITG2A,2010,1,7,2726,
ITG2A,2010,1,8,1623,
ITG2A,2010,2,1,4550,
ITG2A,2010,2,2,8476,
ITG2A,2010,2,3,4774,
ITG2A,2010,2,4,4960,
ITG2A,2010,2,5,2394,
ITG2A,2010,2,6,1854,
ITG2A,2010,2,7,3322,
ITG2A,2010,2,8,3364,
ITG2A,2011,1,1,4884,
ITG2A,2011,1,2,9080,
ITG2A,2011,1,3,5096,
ITG2A,2011,1,4,5165,
ITG2A,2011,1,5,2511,
ITG2A,2011,1,6,1985,
ITG2A,2011,1,7,2679,
ITG2A,2011,1,8,1699,
ITG2A,2011,2,1,4605,
ITG2A,2011,2,2,8324,
ITG2A,2011,2,3,4742,
ITG2A,2011,2,4,4969,
ITG2A,2011,2,5,2421,
ITG2A,2011,2,6,2045,
ITG2A,2011,2,7,3241,
ITG2A,2011,2,8,3439,
ITG2A,2012,1,1,4936,
ITG2A,2012,1,2,8869,
ITG2A,2012,1,3,5086,
ITG2A,2012,1,4,5147,
ITG2A,2012,1,5,2554,
ITG2A,2012,1,6,2091,
ITG2A,2012,1,7,2705,
ITG2A,2012,1,8,1779,
ITG2A,2012,2,1,4660,
ITG2A,2012,2,2,8165,
ITG2A,2012,2,3,4734,
ITG2A,2012,2,4,4970,
ITG2A,2012,2,5,2456,
ITG2A,2012,2,6,2133,
ITG2A,2012,2,7,3253,
ITG2A,2012,2,8,3517,
ITG2A,2013,1,1,5006,
ITG2A,2013,1,2,8665,
ITG2A,2013,1,3,5109,
ITG2A,2013,1,4,5127,
ITG2A,2013,1,5,2534,
ITG2A,2013,1,6,2182,
ITG2A,2013,1,7,2774,
ITG2A,2013,1,8,1848,
ITG2A,2013,2,1,4718,
ITG2A,2013,2,2,8004,
ITG2A,2013,2,3,4708,
ITG2A,2013,2,4,4959,
ITG2A,2013,2,5,2461,
ITG2A,2013,2,6,2204,
ITG2A,2013,2,7,3297,
ITG2A,2013,2,8,3569,
